Date,Close,Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB)
13-11-2017,6559.490234,6263249920,316.7160034,1041889984,1.009349942,767884032,1.686619997,12238800
14-11-2017,6635.75,3197110016,337.631012,1069680000,1.006829977,429857984,1.592579961,7829600
15-11-2017,7315.540039,4200880128,333.3569946,722665984,1.003180027,449671008,1.530449986,7615500
16-11-2017,7871.689941,5123809792,330.9240112,797254016,1.002120018,650278976,1.57791996,8928640
17-11-2017,7708.990234,4651670016,332.3940125,621732992,1.00138998,639398016,1.510360003,8508840
18-11-2017,7790.149902,3667190016,347.6119995,649638976,1.002310038,588136000,1.674329996,32167300
19-11-2017,8036.490234,3149319936,354.3859863,1181529984,1.002439976,485752992,1.613770008,38081700
20-11-2017,8200.639648,3488450048,366.730011,807027008,1.001919985,449595008,1.624449968,12994500
21-11-2017,8071.259766,4277609984,360.401001,949912000,0.99604702,622649024,1.574059963,5440790
22-11-2017,8253.549805,3633530112,380.6520081,800819008,1.000149965,499812000,1.611750007,7177000
23-11-2017,8038.77002,4225179904,410.1659851,1845680000,0.994630992,735883008,1.548699975,8392640
24-11-2017,8253.69043,5058610176,474.9110107,2292829952,1.002329946,848627968,1.717710018,12155400
25-11-2017,8790.919922,4342060032,466.276001,1422080000,1.005409956,651987968,1.873870015,12839900
26-11-2017,9330.549805,5475579904,471.3299866,1197779968,1.008679986,636451968,1.853129983,9056850
27-11-2017,9818.349609,5653320192,480.355011,1396480000,1.001289964,784436992,1.942980051,22826600
28-11-2017,10058.7998,6348819968,472.9020081,1346499968,1.000139952,794764032,1.917109966,36377700
29-11-2017,9888.610352,11568799744,427.5230103,2675940096,0.99060601,1672120064,1.751530051,43765500
30-11-2017,10233.59961,8310689792,447.1140137,1903040000,1.008100033,1043969984,1.996970057,31559500
01-12-2017,10975.59961,6783119872,466.5400085,1247879936,1.009780049,749395968,2.070230007,28867200
02-12-2017,11074.59961,5138500096,463.4490051,943649984,0.999653995,679950016,2.084160089,24332700
03-12-2017,11323.2002,6608309760,465.8529968,990556992,1.000659943,946748992,2.227250099,35163500
04-12-2017,11657.2002,6132409856,470.20401,1005550016,1.003669977,668510016,2.491679907,41226200
05-12-2017,11916.7002,6895260160,463.2810059,1216720000,1.001970053,814145984,2.595299959,49190000
06-12-2017,14291.5,12656300032,428.5880127,1998259968,1.009909987,1281490048,2.587690115,41731500
07-12-2017,17899.69922,17950699520,434.4079895,2129570048,1.031659961,1671609984,2.779949903,28297900
08-12-2017,16569.40039,21135998976,456.0310059,2336379904,1.01760006,1993030016,2.830670118,38648500
09-12-2017,15178.2002,13911300096,473.5020142,2003849984,1.017130017,1598909952,2.610430002,27217000
10-12-2017,15455.40039,13433299968,441.7210083,1404179968,1.017750025,1649500032,2.483370066,19258500
11-12-2017,16936.80078,12153900032,515.1359863,1771440000,1.018560052,1542119936,2.706650019,19427000
12-12-2017,17415.40039,14603799552,651.4310303,5179829760,1.077880025,2240839936,2.68475008,24523200
13-12-2017,16408.19922,12976900096,702.7670288,4524539904,1.027160048,2198139904,2.778100014,28429500
14-12-2017,16564,13777399808,695.815979,3821580032,1.008190036,2336179968,3.158740044,40335300
15-12-2017,17706.90039,14309999616,684.447998,2758710016,1.016100049,2044499968,3.996150017,52745900
16-12-2017,19497.40039,12740599808,696.2089844,2165690112,1.007419944,1592729984,4.664649963,54002400
17-12-2017,19140.80078,13314599936,719.9749756,2147389952,1.009240031,1931020032,5.756720066,98159600
18-12-2017,19114.19922,14839499776,794.6450195,3249230080,1.013020039,2517230080,5.615849972,66623700
19-12-2017,17776.69922,16894499840,826.822998,4096549888,1.01067996,3073860096,5.792329788,66695200
20-12-2017,16624.59961,22149699584,819.0859985,3969939968,1.000180006,3751790080,5.176209927,47866900
21-12-2017,15802.90039,16516599808,821.0629883,3569060096,1.009209991,3106720000,5.180009842,46905500
22-12-2017,13831.7998,22197999616,674.8599854,4977710080,1.017950058,4687949824,4.336150169,36672600
23-12-2017,14699.2002,13086000128,719.3870239,2480339968,1.045259953,2353740032,4.839260101,32930300
24-12-2017,13925.7998,11572299776,694.1480103,2300549888,1.023030043,2611589888,5.285679817,43676900
25-12-2017,14026.59961,10664699904,765.8339844,2491760128,1.011129975,1708380032,6.560009956,66374400
26-12-2017,16099.7998,13454300160,773.8359985,2201159936,1.004070044,1854780032,9.029419899,167812992
27-12-2017,15838.5,12487600128,762.84198,2100029952,1.003659964,1939949952,10.10700035,167808000
28-12-2017,14606.5,12336499712,737.0230103,2389149952,1.006590009,2211409920,9.321410179,109298000
29-12-2017,14656.2002,13025500160,753.59198,2648969984,1.00564003,1929090048,8.807600021,70849400
30-12-2017,12952.2002,14452599808,717.257019,3187780096,1.021350026,2711059968,7.841010094,72933904
31-12-2017,14156.40039,12136299520,756.7329712,2554269952,1.01225996,1927010048,8.635580063,74927904
01-01-2018,13657.2002,10291200000,772.6409912,2595760128,1.007279992,1685299968,8.414609909,66422800
02-01-2018,14982.09961,16846600192,884.4439697,5783349760,1.004899979,2635859968,8.837770462,104789000
03-01-2018,15201,16871900160,962.7199707,5093159936,1.013440013,2471689984,9.535880089,108852000
04-01-2018,15599.2002,21783199744,980.9219971,6502859776,1.002529979,3200130048,9.213990211,158819008
05-01-2018,17429.5,23840899072,997.7199707,6683149824,0.998633981,3096620032,14.91720009,341504992
06-01-2018,17527,18314600448,1041.680054,4662219776,1.008990049,2620080128,22.75979996,637020992
07-01-2018,16477.59961,15866000384,1153.170044,5569880064,1.001569986,2338180096,18.65679932,258050000
08-01-2018,15170.09961,18413899776,1148.530029,8450970112,1.009320021,3815749888,18.2609005,296617984
09-01-2018,14595.40039,16659999744,1299.73999,7965459968,1.005990028,2766180096,17.41180038,194750000
10-01-2018,14973.2998,18500800512,1255.819946,9214950400,1.00127995,3189860096,17.39080048,146582000
11-01-2018,13405.7998,16534099968,1154.930054,7235899904,1.001710057,3841110016,21.04269981,389228000
12-01-2018,13980.59961,12065699840,1273.199951,5222300160,1.006080031,2668219904,22.31629944,387537984
13-01-2018,14360.2002,12763599872,1396.420044,5746760192,1.002020001,2759879936,22.17440033,181676000
14-01-2018,13772,11084099584,1366.77002,4841630208,1.016119957,2960410112,20.77729988,129239000
15-01-2018,13819.7998,12750799872,1291.920044,4781100032,1.006620049,2557179904,19.56469917,244154000
16-01-2018,11490.5,18853799936,1053.689941,8405139968,1.034150004,5552929792,13.89190006,399951008
17-01-2018,11188.59961,18830600192,1014.25,8545160192,1.014529943,5588839936,14.20320034,299411008
18-01-2018,11474.90039,15020399616,1036.280029,5938319872,1.023110032,4302300160,14.28040028,204899008
19-01-2018,11607.40039,10740400128,1039.099976,4084450048,1.004539967,2876989952,14.9406004,139882000
20-01-2018,12899.2002,11801700352,1155.150024,3975190016,1.001109958,2942779904,16.19029999,156744992
21-01-2018,11600.09961,9935179776,1049.579956,3378089984,0.999861002,3302010112,14.06830025,141562000
22-01-2018,10931.40039,10537400320,1003.26001,3810099968,1.00504005,3274899968,13.0145998,138026000
23-01-2018,10868.40039,9660609536,986.2290039,3556699904,1.005049944,3126830080,13.09350014,91706200
24-01-2018,11359.40039,9940989952,1058.780029,3944039936,0.997484028,2620630016,13.62870026,105736000
25-01-2018,11259.40039,8873169920,1056.030029,4050190080,0.999594986,2571930112,13.22840023,105648000
26-01-2018,11171.40039,9746199552,1055.170044,3617690112,1.004140019,2957009920,13.21819973,113429000
27-01-2018,11440.7002,7583269888,1107.069946,3002870016,0.993324995,2051980032,13.25300026,84009400
28-01-2018,11786.2998,8350360064,1246.01001,5372329984,0.988789976,2546639872,13.54020023,93871104
29-01-2018,11296.40039,7107359744,1182.359985,3715079936,0.995319009,2031160064,12.76449966,71294304
30-01-2018,10106.2998,8637859840,1071.130005,4107859968,0.986486018,3108630016,11.2507,59389600
31-01-2018,10221.09961,8041160192,1118.310059,3757560064,0.990274012,2663930112,11.14500046,50435000
01-02-2018,9170.540039,9959400448,1036.790039,5261680128,0.986939013,3498899968,9.515839577,82984200
02-02-2018,8830.75,12726899712,915.7849731,6713290240,0.990746975,4785869824,9.652290344,91468200
03-02-2018,9174.910156,7263790080,964.0189819,3243480064,1.001309991,2488529920,9.749679565,56556200
04-02-2018,8277.009766,7073549824,834.6820068,2997090048,1.010130048,2504640000,8.458640099,49990000
05-02-2018,6955.27002,9285289984,697.9509888,4269530112,0.996308029,4078980096,6.705029964,55276900
06-02-2018,7754,13999800320,793.1220093,6518269952,1.010089993,6247249920,8.288849831,97189904
07-02-2018,7621.299805,9169280000,757.0679932,3896179968,1.001399994,3307539968,8.095009804,77970304
08-02-2018,8265.589844,9346750464,817.8070068,3708189952,1.01891005,2466619904,8.595499992,82496000
